id_transaction,date,categorie,prix_unitaire,quantite,age_client,sexe_client,ville,canal_acquisition,note_produit,temps_sur_page_sec,saison,montant_total,panier_moyen,est_client_fidele
1,2023-01-15,Mode,68.93,1,55,M,Paris,Google_Ads,2.5,158,Printemps,72.91,65.68,0
2,2023-04-15,Mode,64.96,3,34,F,Nice,Direct,4.3,31,Été,193.05,192.17,1
3,2023-05-24,Sport,64.96,2,25,M,Nantes,Email,3.0,59,Été,120.57,102.53,0
4,2023-06-21,Mode,91.71,2,36,M,Marseille,Facebook,2.9,141,Automne,207.82,196.42,0
5,2023-06-26,Sport,103.27,2,28,F,Toulouse,Facebook,5.0,120,Automne,201.34,194.99,0
6,2023-07-01,Électronique,809.35,1,27,F,Nantes,SEO,5.0,120,Automne,825.76,736.59,1
7,2023-07-03,Sport,46.59,1,40,M,Toulouse,Google_Ads,4.8,110,Automne,50.86,44.12,0
8,2023-09-01,Sport,124.59,1,18,M,Bordeaux,Facebook,2.6,54,Hiver,153.97,131.44,0
9,2023-09-29,Électronique,739.99,4,18,F,Lyon,Facebook,5.0,183,Hiver,3283.17,2827.34,1
10,2023-11-05,Mode,106.55,2,35,M,Bordeaux,Google_Ads,2.1,186,Hiver,248.07,231.06,0
11,2023-11-05,Électronique,823.1,5,34,M,Nantes,Instagram,3.5,80,Hiver,4270.75,4167.72,1
12,2024-02-18,Maison,191.23,2,39,M,Marseille,Facebook,3.9,53,Printemps,372.57,320.22,1
13,2024-04-12,Mode,122.96,3,57,F,Lyon,Instagram,5.0,37,Été,338.59,293.55,0
14,2024-04-19,Maison,119.88,3,36,M,Bordeaux,Google_Ads,4.8,147,Été,365.05,310.58,0
15,2024-04-25,Électronique,564.67,5,42,F,Lyon,Email,3.3,127,Été,2453.63,2189.48,1
16,2024-05-01,Électronique,234.5,1,23,M,Marseille,Google_Ads,2.8,91,Été,203.27,200.87,1
17,2024-05-12,Électronique,229.7,2,44,M,Lille,Google_Ads,4.9,325,Été,431.42,384.59,1
18,2024-06-03,Mode,55.91,3,28,F,Marseille,SEO,3.2,72,Automne,172.86,158.36,1
19,2024-06-20,Maison,78.15,4,35,M,Toulouse,Email,4.0,172,Automne,305.99,268.31,1
20,2024-07-01,Sport,75.68,2,33,F,Paris,Instagram,2.3,52,Automne,151.4,131.33,0
21,2024-07-29,Maison,91.87,1,47,M,Lyon,Email,4.4,147,Automne,105.61,92.66,0
22,2024-08-03,Mode,35.28,1,19,F,Marseille,SEO,4.3,51,Automne,37.14,32.74,0
23,2024-08-13,Livres,33.55,1,18,M,Lille,Instagram,2.4,119,Automne,32.32,28.11,0
24,2024-08-27,Maison,61.48,3,32,F,Nice,Google_Ads,4.9,86,Automne,176.22,170.71,0
25,2024-09-14,Livres,28.87,1,40,M,Lille,Facebook,4.4,128,Hiver,30.16,27.8,0
26,2024-10-30,Mode,47.33,3,36,M,Marseille,Instagram,4.6,111,Hiver,159.68,148.66,1
27,2024-11-06,Mode,121.44,2,49,M,Bordeaux,Google_Ads,3.4,127,Hiver,299.74,271.63,0
28,2024-11-27,Électronique,827.64,1,40,F,Marseille,Facebook,4.0,32,Hiver,1015.16,894.97,1
